batch	sample_id	is_qc	n_feat	total_raw	median_raw	p90_raw	total_pqn	median_pqn	p90_pqn	ratio_total	ratio_median	ratio_p90
batch1	HO_5	FALSE	1692	1180558048381.7566	49763096.115	770709936.5600023	1265781136877.9954	53355435.13625257	826346574.8586597	1.0721888166473965	1.0721888166473976	1.0721888166473976
batch1	HO_6	FALSE	1692	1051970551243.6002	47607901.53	760069421.9	1292566716253.1304	58496303.79442507	933904885.1018624	1.228709981211077	1.2287099812110762	1.228709981211076
batch1	HO_7	FALSE	1692	1040888094508.0065	55361163.655	751990402.44	1179537049488.395	62735412.17197636	852157446.3361734	1.133202556270877	1.1332025562708767	1.1332025562708767
batch1	HO_8	FALSE	1692	1177066956672.737	60525620.78	839432429.4300002	1171133183081.8079	60220501.91813493	835200722.8538498	0.9949588478741239	0.9949588478741238	0.9949588478741238
batch1	QC_1	TRUE	1692	1082842069528.3569	59992039.955	862677644.4	1082842069528.3569	59992039.955	862677644.4	1	1	1
batch1	WT_1	FALSE	1692	1250790279898.0322	60079501.769999996	818102034.7700001	1289193303874.6511	61924123.193796806	843220228.0926692	1.0307030080052666	1.0307030080052677	1.0307030080052677
batch1	WT_2	FALSE	1692	1180536858993.2244	54467874.09	719456995.400001	1229555877414.6997	56729524.54424617	749330756.1744415	1.041522649672522	1.041522649672523	1.0415226496725232
batch1	WT_3	FALSE	1692	1266370152152.6973	58375493.20999999	865567394.9400005	1258422334894.27	58009125.01061152	860135040.5307155	0.9937239382617186	0.9937239382617206	0.9937239382617207
batch1	WT_4	FALSE	1692	1247454459857.1406	58491345.730000004	883176639.4500011	1238761915044.2568	58083764.80397405	877022464.8783789	0.9930317738301411	0.9930317738301427	0.9930317738301425
batch2	HO_10	FALSE	1130	985353410629.461	58400000	1243000000.0000007	965215813222.6747	57206483.36336008	1217596897.6139832	0.9795630712904093	0.9795630712904123	0.9795630712904123
batch2	HO_11	FALSE	1130	931711382408.0803	54250000	1321000000.0000002	947865910304.0443	55190616.54167087	1343904229.521608	1.0173385537635178	1.0173385537635182	1.0173385537635184
batch2	HO_12	FALSE	1130	973099556423.3551	59250000	1260000000	865554166050.107	52701785.75249228	1120746836.255532	0.8894816160758175	0.8894816160758191	0.8894816160758191
batch2	HO_9	FALSE	1130	916169656520.3949	53050000	1280000000	918215286401.5665	53168450.40317994	1282857992.7628715	1.002232806845995	1.0022328068459934	1.0022328068459934
batch2	QC_0	TRUE	1130	914960443343.8147	52850000	1214000000.000001	904187107353.4387	52227709.92043042	1199705578.8723288	0.9882253532721003	0.9882253532720988	0.9882253532720987
batch2	QC_1	TRUE	1130	884983297275.3525	51600000	1262000000.0000005	871736860250.9551	50827650.79006202	1243110373.9739978	0.9850319920554659	0.9850319920554654	0.9850319920554654
batch2	QC_2	TRUE	1130	887052844754.4015	50650000	1224000000.000001	897749476756.368	51260769.036031425	1238759749.2616487	1.0120586186778175	1.0120586186778169	1.0120586186778167
batch2	QC_3	TRUE	1130	855449029900.6007	47800000	1230000000	872400523281.555	48747200.07304668	1254373558.3650086	1.0198159011097645	1.0198159011097632	1.0198159011097632
batch2	WT_1	FALSE	1130	883776646863.1528	50450000	1201000000.0000002	941830951794.1359	53764004.385795504	1279892354.1593742	1.065688887726372	1.0656888877263728	1.065688887726373
batch2	WT_2	FALSE	1130	764835333445.2289	39200000	1032000000.0000005	949798255920.8932	48679879.18966254	1281572329.6870346	1.241833652797514	1.2418336527975138	1.2418336527975136
batch2	WT_3	FALSE	1130	736764818709.3264	41000000	932100000	885341220588.5369	49268082.73462219	1120067802.8522277	1.2016605545029801	1.2016605545029801	1.20166055450298
batch2	WT_5	FALSE	1130	934456429481.5449	52650000	1230000000	892823343216.3413	50304270.522726074	1175199482.2973044	0.9554467335750448	0.9554467335750442	0.9554467335750442
batch3	HO_5	FALSE	1251	1054316744101.5342	59900000	1180000000	1022189938020.5339	58074746.161418624	1144043413.5304503	0.9695283165512296	0.9695283165512291	0.9695283165512291
batch3	HO_6	FALSE	1251	872380814085.1539	42700000	940000000	1060036459965.7246	51885089.75636208	1142201039.1330297	1.215107488439393	1.215107488439393	1.2151074884393933
batch3	HO_7	FALSE	1251	1158651089612.1506	61100000	1070000000	1054446433701.0812	55604899.24598638	973768284.6678468	0.9100638174465868	0.9100638174465856	0.9100638174465858
batch3	HO_8	FALSE	1251	1027995027420.142	60700000	1180000000	989785190071.3379	58443824.5660652	1136140246.9185655	0.9628307177275988	0.962830717727598	0.9628307177275979
batch3	QC_0	TRUE	1251	1072996960685.7499	53100000	1120000000	1072973872596.6174	53098857.42683538	1119975900.5283546	0.9999784826146034	0.9999784826146023	0.9999784826146023
batch3	QC_1	TRUE	1251	1056295175175.896	55000000	1120000000	1057919237907.7108	55084562.9634112	1121722009.436737	1.001537508425658	1.0015375084256581	1.0015375084256581
batch3	QC_2	TRUE	1251	1085545380310.5277	54700000	1110000000	1085568739414.0973	54701177.0516354	1110023885.325691	1.0000215183114343	1.0000215183114332	1.0000215183114334
batch3	QC_3	TRUE	1251	1090093951524.0039	58400000	1210000000	1001428231844.0564	53649879.130078815	1111581399.7841673	0.918662313871214	0.9186623138712126	0.9186623138712127
batch3	WT_1	FALSE	1251	869588137614.9904	42200000	977000000	1047810869395.9065	50848921.202838	1177236872.397458	1.204950739403743	1.2049507394037442	1.2049507394037442
batch3	WT_2	FALSE	1251	1002787427681.5831	54600000	1020000000	1053122062424.2646	57340631.74416181	1071198615.0008248	1.0501947205890423	1.050194720589044	1.0501947205890438
batch3	WT_3	FALSE	1251	1090336066981.2335	50900000	1120000000	1120212084394.1748	52294697.774722755	1150688831.192328	1.0274007421360074	1.027400742136007	1.0274007421360072
batch3	WT_4	FALSE	1251	1074647266891.5928	52300000	1130000000	1090454560221.4491	53069295.62529176	1146621492.477623	1.014709285378428	1.0147092853784274	1.0147092853784274
batch4	HO_10	FALSE	122	2218369580.3055	4799620.418500001	45830000.000000015	2667881311.0516157	5772175.082248684	55116605.26315791	1.202631578947369	1.2026315789473683	1.2026315789473685
batch4	HO_6	FALSE	122	1714510791.8963006	6561740.3225	40760000.000000015	1735875412.3560677	6643506.557048287	41267912.77258569	1.0124610591900312	1.0124610591900314	1.0124610591900314
batch4	HO_7	FALSE	122	2414320434.0648994	6160200.455499999	60780000.00000005	2080741276.9642775	5309064.688050615	52382216.1422709	0.8618331053351574	0.8618331053351572	0.8618331053351572
batch4	QC_1	TRUE	122	2317629780.3134	5624046.172499999	50440000.00000003	2463494591.661795	5978007.1204195805	53614545.45454549	1.0629370629370627	1.0629370629370631	1.062937062937063
batch4	QC_2	TRUE	122	1935449618.065801	7062540.3335	46500000	1930315799.4502409	7043806.804763926	46376657.824933685	0.9973474801061003	0.9973474801061009	0.9973474801061007
batch4	QC_3	TRUE	122	2112397747.242401	7216197.2625	55680000.00000002	2112397747.242401	7216197.2625	55680000.00000002	1	1	1
batch4	WT_1	FALSE	122	3069388056.195	7628792.874	75700000.00000001	2369748131.621141	5889876.85125	58444852.941176474	0.7720588235294121	0.7720588235294118	0.7720588235294117
batch4	WT_3	FALSE	122	4150794097.871001	9927204.7625	104910000.00000012	3308306186.9169846	7912277.063180694	83616386.13861397	0.7970297029702967	0.7970297029702972	0.7970297029702972
batch4	WT_4	FALSE	122	1679023455.2140007	4728410.4025	41300000.000000015	1996431303.9295561	5622283.903219198	49107481.25420421	1.1890431296417476	1.189043129641748	1.189043129641748
batch4	WT_5	FALSE	122	1870298758.9170008	6161694.356	45750000	1894293470.908559	6240744.8717250135	46336942.63062525	1.0128293471174907	1.0128293471174918	1.0128293471174918
