pathway	sample_id	score_z	batch	genotype
EphB1_AMPK_energy_sensing	batch1_KO_1	0.8157644758269175	batch1	HO
EphB1_AMPK_energy_sensing	batch1_KO_2	-1.7235228027322833	batch1	HO
EphB1_AMPK_energy_sensing	batch1_WT_1	0.37442122376952575	batch1	WT
EphB1_AMPK_energy_sensing	batch1_WT_2	0.06470075358894159	batch1	WT
EphB1_AMPK_energy_sensing	batch1_WT_3	0.4686363495468985	batch1	WT
EphB1_AMPK_energy_sensing	batch2_KO_1	0.6739788558871604	batch2	HO
EphB1_AMPK_energy_sensing	batch2_KO_2	0.9398462901678637	batch2	HO
EphB1_AMPK_energy_sensing	batch2_KO_3	-2.070741987440328	batch2	HO
EphB1_AMPK_energy_sensing	batch2_KO_4	0.3429285803232764	batch2	HO
EphB1_AMPK_energy_sensing	batch2_WT_1	0.7880704129850606	batch2	WT
EphB1_AMPK_energy_sensing	batch2_WT_2	-0.16418367327071842	batch2	WT
EphB1_AMPK_energy_sensing	batch2_WT_3	0.23436639462941913	batch2	WT
EphB1_AMPK_energy_sensing	batch2_WT_4	-0.7442648732818038	batch2	WT
EphB1_AMPK_energy_sensing	batch3_KO_1	0.7350261352802275	batch3	HO
EphB1_AMPK_energy_sensing	batch3_KO_2	0.4393915180985578	batch3	HO
EphB1_AMPK_energy_sensing	batch3_KO_3	0.06351258138073276	batch3	HO
EphB1_AMPK_energy_sensing	batch3_WT_1	0.41180134421604797	batch3	WT
EphB1_AMPK_energy_sensing	batch3_WT_2	0.34394778372470947	batch3	WT
EphB1_AMPK_energy_sensing	batch3_WT_3	-1.9936793627003142	batch3	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_1	0.6204731809904689	batch1	HO
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_KO_2	0.6270681397561155	batch1	HO
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_1	-0.08016324178205525	batch1	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_2	0.5419189395268741	batch1	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch1_WT_3	-1.7092970184913545	batch1	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_1	0.34429930235733625	batch2	HO
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_2	-0.3879815417979191	batch2	HO
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_3	-0.44877132215758214	batch2	HO
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_KO_4	1.8865341270548255	batch2	HO
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_1	-0.3667661504892709	batch2	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_2	-1.6247781844234797	batch2	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_3	0.20487410439716988	batch2	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch2_WT_4	0.3925896650589078	batch2	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_1	0.10871303973310334	batch3	HO
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_2	-0.0716264349569446	batch3	HO
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_KO_3	-0.26714586029961057	batch3	HO
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_1	0.8205548522432801	batch3	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_2	1.1302400878950778	batch3	WT
EphB1_cytoskeleton_FAQ_Src_Rho	batch3_WT_3	-1.720735684614887	batch3	WT
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_1	0.8426445498735394	batch1	HO
EphB1_integrin_caveolae_membrane_microdomain	batch1_KO_2	0.9540776909115541	batch1	HO
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_1	0.3305786758003029	batch1	WT
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_2	-1.0016058512464885	batch1	WT
EphB1_integrin_caveolae_membrane_microdomain	batch1_WT_3	-1.125695065338839	batch1	WT
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_1	-0.3371632119321685	batch2	HO
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_2	-1.1872512837747011	batch2	HO
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_3	-1.7652055318420117	batch2	HO
EphB1_integrin_caveolae_membrane_microdomain	batch2_KO_4	0.6091176544419756	batch2	HO
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_1	0.8105778318094919	batch2	WT
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_2	0.5799453778438122	batch2	WT
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_3	0.3582978593830793	batch2	WT
EphB1_integrin_caveolae_membrane_microdomain	batch2_WT_4	0.9316813040704949	batch2	WT
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_1	1.8810807701765446	batch3	HO
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_2	-0.9079996157022131	batch3	HO
EphB1_integrin_caveolae_membrane_microdomain	batch3_KO_3	-0.7253632109635332	batch3	HO
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_1	0.1379449714787083	batch3	WT
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_2	-0.2864351138922153	batch3	WT
EphB1_integrin_caveolae_membrane_microdomain	batch3_WT_3	-0.09922780109735545	batch3	WT
EphB1_JAK_STAT_inflammatory	batch1_KO_1	-0.6429330899987529	batch1	HO
EphB1_JAK_STAT_inflammatory	batch1_KO_2	-0.6553927222205084	batch1	HO
EphB1_JAK_STAT_inflammatory	batch1_WT_1	1.1776434258943294	batch1	WT
EphB1_JAK_STAT_inflammatory	batch1_WT_2	0.9992158556463325	batch1	WT
EphB1_JAK_STAT_inflammatory	batch1_WT_3	-0.8785334693213924	batch1	WT
EphB1_JAK_STAT_inflammatory	batch2_KO_1	0.537875092664826	batch2	HO
EphB1_JAK_STAT_inflammatory	batch2_KO_2	-0.062282166926545236	batch2	HO
EphB1_JAK_STAT_inflammatory	batch2_KO_3	1.9781138174412176	batch2	HO
EphB1_JAK_STAT_inflammatory	batch2_KO_4	0.5730365088451773	batch2	HO
EphB1_JAK_STAT_inflammatory	batch2_WT_1	-1.0761913526960476	batch2	WT
EphB1_JAK_STAT_inflammatory	batch2_WT_2	-0.8114877716400206	batch2	WT
EphB1_JAK_STAT_inflammatory	batch2_WT_3	-0.5635143184256117	batch2	WT
EphB1_JAK_STAT_inflammatory	batch2_WT_4	-0.5755498092630105	batch2	WT
EphB1_JAK_STAT_inflammatory	batch3_KO_1	-0.5289510808314001	batch3	HO
EphB1_JAK_STAT_inflammatory	batch3_KO_2	-0.506645648714364	batch3	HO
EphB1_JAK_STAT_inflammatory	batch3_KO_3	-0.40719193790637476	batch3	HO
EphB1_JAK_STAT_inflammatory	batch3_WT_1	-0.33500157399051883	batch3	WT
EphB1_JAK_STAT_inflammatory	batch3_WT_2	-0.25242440959646195	batch3	WT
EphB1_JAK_STAT_inflammatory	batch3_WT_3	2.0302146510391204	batch3	WT
EphB1_MAPK_ERK_p38_JNK	batch1_KO_1	0.322831279678761	batch1	HO
EphB1_MAPK_ERK_p38_JNK	batch1_KO_2	-0.27268296133685666	batch1	HO
EphB1_MAPK_ERK_p38_JNK	batch1_WT_1	1.3898292194942738	batch1	WT
EphB1_MAPK_ERK_p38_JNK	batch1_WT_2	-0.06690720687510056	batch1	WT
EphB1_MAPK_ERK_p38_JNK	batch1_WT_3	-1.3730703309611076	batch1	WT
EphB1_MAPK_ERK_p38_JNK	batch2_KO_1	-0.5921801073041435	batch2	HO
EphB1_MAPK_ERK_p38_JNK	batch2_KO_2	-0.7864490709197013	batch2	HO
EphB1_MAPK_ERK_p38_JNK	batch2_KO_3	-0.9992450293796546	batch2	HO
EphB1_MAPK_ERK_p38_JNK	batch2_KO_4	0.5199893494448776	batch2	HO
EphB1_MAPK_ERK_p38_JNK	batch2_WT_1	0.9054518903890775	batch2	WT
EphB1_MAPK_ERK_p38_JNK	batch2_WT_2	0.13999463085107314	batch2	WT
EphB1_MAPK_ERK_p38_JNK	batch2_WT_3	1.7464563450371184	batch2	WT
EphB1_MAPK_ERK_p38_JNK	batch2_WT_4	-0.9340180081187113	batch2	WT
EphB1_MAPK_ERK_p38_JNK	batch3_KO_1	0.2189294903437042	batch3	HO
EphB1_MAPK_ERK_p38_JNK	batch3_KO_2	0.004954112614805363	batch3	HO
EphB1_MAPK_ERK_p38_JNK	batch3_KO_3	-1.4332138766307307	batch3	HO
EphB1_MAPK_ERK_p38_JNK	batch3_WT_1	1.33202911365055	batch3	WT
EphB1_MAPK_ERK_p38_JNK	batch3_WT_2	0.6856827937006544	batch3	WT
EphB1_MAPK_ERK_p38_JNK	batch3_WT_3	-0.8083816336788917	batch3	WT
EphB1_mito_stress_cell_death	batch1_KO_1	-1.0979208253405726	batch1	HO
EphB1_mito_stress_cell_death	batch1_KO_2	0.7929495728894919	batch1	HO
EphB1_mito_stress_cell_death	batch1_WT_1	-0.6316106253609676	batch1	WT
EphB1_mito_stress_cell_death	batch1_WT_2	-0.3466556995759086	batch1	WT
EphB1_mito_stress_cell_death	batch1_WT_3	1.283237577387957	batch1	WT
EphB1_mito_stress_cell_death	batch2_KO_1	0.38409506753184125	batch2	HO
EphB1_mito_stress_cell_death	batch2_KO_2	-0.12167647801182938	batch2	HO
EphB1_mito_stress_cell_death	batch2_KO_3	2.24390220779285	batch2	HO
EphB1_mito_stress_cell_death	batch2_KO_4	0.10924613074584098	batch2	HO
EphB1_mito_stress_cell_death	batch2_WT_1	-0.8045830368019607	batch2	WT
EphB1_mito_stress_cell_death	batch2_WT_2	-0.7411049007227486	batch2	WT
EphB1_mito_stress_cell_death	batch2_WT_3	-0.6391582901121899	batch2	WT
EphB1_mito_stress_cell_death	batch2_WT_4	-0.4307207004218675	batch2	WT
EphB1_mito_stress_cell_death	batch3_KO_1	-0.3171954132530503	batch3	HO
EphB1_mito_stress_cell_death	batch3_KO_2	-0.5210868003454261	batch3	HO
EphB1_mito_stress_cell_death	batch3_KO_3	-0.3757149489347235	batch3	HO
EphB1_mito_stress_cell_death	batch3_WT_1	-0.3869710984784016	batch3	WT
EphB1_mito_stress_cell_death	batch3_WT_2	-0.43551699733007526	batch3	WT
EphB1_mito_stress_cell_death	batch3_WT_3	2.0364852583416813	batch3	WT
EphB1_NFkB_inflammation_ROS	batch1_KO_1	-0.2327085292731635	batch1	HO
EphB1_NFkB_inflammation_ROS	batch1_KO_2	-0.43939753748201393	batch1	HO
EphB1_NFkB_inflammation_ROS	batch1_WT_1	1.1086008316270348	batch1	WT
EphB1_NFkB_inflammation_ROS	batch1_WT_2	0.8836865767226646	batch1	WT
EphB1_NFkB_inflammation_ROS	batch1_WT_3	-1.3201813415945134	batch1	WT
EphB1_NFkB_inflammation_ROS	batch2_KO_1	0.03304527097372183	batch2	HO
EphB1_NFkB_inflammation_ROS	batch2_KO_2	-0.33743445554669876	batch2	HO
EphB1_NFkB_inflammation_ROS	batch2_KO_3	2.244548213245384	batch2	HO
EphB1_NFkB_inflammation_ROS	batch2_KO_4	0.28613434824069023	batch2	HO
EphB1_NFkB_inflammation_ROS	batch2_WT_1	-0.9730996278722258	batch2	WT
EphB1_NFkB_inflammation_ROS	batch2_WT_2	-0.7896379352498812	batch2	WT
EphB1_NFkB_inflammation_ROS	batch2_WT_3	-0.022871826742805957	batch2	WT
EphB1_NFkB_inflammation_ROS	batch2_WT_4	-0.440683987048195	batch2	WT
EphB1_NFkB_inflammation_ROS	batch3_KO_1	-0.41279112001851437	batch3	HO
EphB1_NFkB_inflammation_ROS	batch3_KO_2	-0.4083628586112526	batch3	HO
EphB1_NFkB_inflammation_ROS	batch3_KO_3	-0.8226086828736977	batch3	HO
EphB1_NFkB_inflammation_ROS	batch3_WT_1	-0.1234952079818094	batch3	WT
EphB1_NFkB_inflammation_ROS	batch3_WT_2	-0.21393813992255753	batch3	WT
EphB1_NFkB_inflammation_ROS	batch3_WT_3	1.981196009407831	batch3	WT
EphB1_PGC1_NRF_mito_biogenesis	batch1_KO_1	-0.5083705774598719	batch1	HO
EphB1_PGC1_NRF_mito_biogenesis	batch1_KO_2	-1.0377617295594617	batch1	HO
EphB1_PGC1_NRF_mito_biogenesis	batch1_WT_1	0.7278715174456146	batch1	WT
EphB1_PGC1_NRF_mito_biogenesis	batch1_WT_2	-0.5395628229735298	batch1	WT
EphB1_PGC1_NRF_mito_biogenesis	batch1_WT_3	1.357823612547346	batch1	WT
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_1	-0.06200070898882194	batch2	HO
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_2	0.2788849143558875	batch2	HO
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_3	-1.2584014775519923	batch2	HO
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_4	0.9270390389753083	batch2	HO
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_1	1.7106833235757923	batch2	WT
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_2	-0.3265698486620183	batch2	WT
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_3	-0.07075586224911004	batch2	WT
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_4	-1.1988793794549237	batch2	WT
EphB1_PGC1_NRF_mito_biogenesis	batch3_KO_1	0.8768714429305451	batch3	HO
EphB1_PGC1_NRF_mito_biogenesis	batch3_KO_2	0.8266082032364162	batch3	HO
EphB1_PGC1_NRF_mito_biogenesis	batch3_KO_3	-0.008979850577332827	batch3	HO
EphB1_PGC1_NRF_mito_biogenesis	batch3_WT_1	0.06383284059368285	batch3	WT
EphB1_PGC1_NRF_mito_biogenesis	batch3_WT_2	0.12028184262670273	batch3	WT
EphB1_PGC1_NRF_mito_biogenesis	batch3_WT_3	-1.8786144788100732	batch3	WT
EphB1_PI3K_AKT_mTOR	batch1_KO_1	-0.2581469523589171	batch1	HO
EphB1_PI3K_AKT_mTOR	batch1_KO_2	-0.9036698093309184	batch1	HO
EphB1_PI3K_AKT_mTOR	batch1_WT_1	0.8321848934347141	batch1	WT
EphB1_PI3K_AKT_mTOR	batch1_WT_2	1.253365598944478	batch1	WT
EphB1_PI3K_AKT_mTOR	batch1_WT_3	-0.9237337306893304	batch1	WT
EphB1_PI3K_AKT_mTOR	batch2_KO_1	-0.07164569276146689	batch2	HO
EphB1_PI3K_AKT_mTOR	batch2_KO_2	0.0479107867994532	batch2	HO
EphB1_PI3K_AKT_mTOR	batch2_KO_3	-1.1602088714437482	batch2	HO
EphB1_PI3K_AKT_mTOR	batch2_KO_4	-1.7698095517756298	batch2	HO
EphB1_PI3K_AKT_mTOR	batch2_WT_1	1.093164598216955	batch2	WT
EphB1_PI3K_AKT_mTOR	batch2_WT_2	0.9047796709217167	batch2	WT
EphB1_PI3K_AKT_mTOR	batch2_WT_3	0.6259592579873483	batch2	WT
EphB1_PI3K_AKT_mTOR	batch2_WT_4	0.32984980205517167	batch2	WT
EphB1_PI3K_AKT_mTOR	batch3_KO_1	-0.5796731709231954	batch3	HO
EphB1_PI3K_AKT_mTOR	batch3_KO_2	-0.44084650566205197	batch3	HO
EphB1_PI3K_AKT_mTOR	batch3_KO_3	-0.5747744567952955	batch3	HO
EphB1_PI3K_AKT_mTOR	batch3_WT_1	1.2074617825800191	batch3	WT
EphB1_PI3K_AKT_mTOR	batch3_WT_2	1.3354276240108538	batch3	WT
EphB1_PI3K_AKT_mTOR	batch3_WT_3	-0.9475952732102914	batch3	WT
